id,enabled,interface,ip_addr,mac,cl_name,comment,gateway,dns1,dns2
1,"yes","lan1","192.168.2.50","00:11:32:3d:5b:19","","群晖","192.168.2.1","",""
2,"yes","lan1","192.168.2.12","00:22:68:1c:e5:e0","","Bob-Laptop","192.168.2.1","",""
3,"yes","lan1","192.168.2.13","00:1e:de:a0:c3:26","","Bob-WinTablet","192.168.2.1","",""
4,"yes","lan1","192.168.2.24","b8:27:eb:f6:e9:32","","Raspberry_DevPi","192.168.2.1","",""
5,"yes","lan1","192.168.2.210","f0:b4:29:9b:7f:f9","","飞利浦智能台灯","192.168.2.1","",""
6,"yes","lan1","192.168.2.211","5c:e5:0c:5a:ab:8c","","客厅摄像头","192.168.2.1","",""
7,"yes","lan1","192.168.2.232","00:9e:c8:74:82:6e","","大房电视小米48寸","192.168.2.1","",""
8,"yes","lan1","192.168.2.22","b8:27:eb:25:77:8d","","Raspberry_SharePi","192.168.2.1","",""
10,"yes","lan1","192.168.2.233","c8:0e:77:ec:f8:7e","","客厅电视乐视65寸","192.168.2.1","",""
11,"yes","lan1","192.168.2.14","98:01:a7:ae:f5:99","","USB千兆网卡","192.168.2.1","",""
12,"yes","lan1","192.168.2.15","9c:eb:e8:4a:b1:6d","","便携式USB网卡","192.168.2.1","",""
13,"yes","lan1","192.168.2.16","00:0e:c6:d2:f7:59","","便携式USB%20千兆网卡","192.168.2.1","",""
14,"yes","lan1","192.168.2.17","7c:04:d0:d4:fd:24","","Poppy-MacAir","192.168.2.1","",""
17,"yes","lan1","192.168.2.45","c0:38:96:d7:16:6e","","PSV","192.168.2.1","",""
18,"yes","lan1","192.168.2.230","b8:fc:9a:4c:4d:a4","","客厅电视乐视65寸","192.168.2.1","",""
19,"yes","lan1","192.168.2.217","00:9e:c8:f3:4b:fa","","小米网络音响主卧","192.168.2.1","",""
20,"yes","lan1","192.168.2.218","34:ce:00:cc:6f:e6","","客厅照明电源","192.168.2.1","",""
21,"yes","lan1","192.168.2.219","34:ce:00:cc:5a:59","","小米智能插座机柜温控风扇供电","192.168.2.1","",""
22,"yes","lan1","192.168.2.46","00:bb:3a:7c:1e:48","","Kindle","192.168.2.1","",""
23,"yes","lan1","192.168.2.47","28:ef:01:01:9f:2e","","Kindle3","192.168.2.1","",""
24,"yes","lan1","192.168.2.220","7c:c2:94:d1:5b:17","","小米智能插座书房路由供电","192.168.2.1","",""
25,"yes","lan1","192.168.2.221","00:9e:c8:f3:01:17","","小米网络音响次卧","192.168.2.1","",""
27,"yes","lan1","192.168.2.48","e8:9e:b4:fe:4a:0d","","PS4","192.168.2.1","",""
28,"yes","lan1","192.168.2.234","8c:57:9b:33:2c:75","","大房电视小米48寸","192.168.2.1","",""
29,"yes","lan1","192.168.2.49","c8:63:f1:38:e2:37","","PS4","192.168.2.1","",""
31,"yes","lan1","192.168.2.25","b8:27:eb:9b:95:eb","","DogPi","192.168.2.1","",""
32,"yes","lan1","192.168.2.235","e0:31:9e:35:2e:d2","","Steam%20Link","192.168.2.1","",""
33,"yes","lan1","192.168.2.236","58:2f:40:c8:64:2c","","Nintendo%20Switch","192.168.2.1","",""
34,"yes","lan1","192.168.2.20","00:0e:c6:b2:2a:62","","绿联%20千兆网卡","192.168.2.1","",""
35,"yes","lan1","192.168.2.21","00:e0:4c:68:00:cc","","EDUP%20千兆网卡","192.168.2.1","",""
36,"yes","lan1","192.168.2.237","00:22:6d:6e:4e:bc","","TMallCast","192.168.2.1","",""
37,"yes","lan1","192.168.2.238","00:e0:4c:04:2a:ab","","UUBOX","192.168.2.1","",""
38,"yes","lan1","192.168.2.28","e8:4e:06:26:cb:f3","","rascmpi","192.168.2.1","",""
39,"yes","lan1","192.168.2.239","00:e0:4c:04:2a:ad","","UUBOX","192.168.2.1","",""
40,"yes","lan1","192.168.2.240","6c:21:a2:44:ab:b6","","Gameshell","192.168.2.1","",""
41,"yes","lan1","192.168.2.249","e4:50:eb:22:01:62","","Apple","192.168.2.1","",""
42,"yes","lan1","192.168.2.250","40:bc:60:ab:7b:36","","FreyaiPad","192.168.2.1","",""
43,"yes","lan1","192.168.2.29","c8:0e:77:e8:dc:03","","次卧乐视TV","192.168.2.1","",""
44,"yes","lan1","192.168.2.51","7c:25:da:bb:02:e0","","书房小米电视","192.168.2.1","",""
45,"yes","lan1","192.168.2.52","00:e4:21:49:b0:8a","","PS5","192.168.2.1","",""
46,"yes","lan1","192.168.2.53","dc:e9:94:b7:74:0d","","PS5","192.168.2.1","",""
47,"yes","lan1","192.168.2.101","58:b6:23:a6:46:06","","米家宠物喂食器","192.168.2.1","",""
48,"yes","lan1","192.168.2.100","54:ef:44:2f:10:ea","","书房米家网关","192.168.2.1","",""
49,"yes","lan1","192.168.2.57","64:dd:e9:8b:68:8b","","小米MIX4","192.168.2.1","",""
50,"yes","lan1","192.168.2.222","7c:c2:94:17:5b:f5","","小米智能插座鱼缸过滤","192.168.2.1","",""
54,"yes","lan1","192.168.2.58","00:0a:ee:42:49:77","","BOOX","192.168.2.1","",""
55,"yes","lan1","192.168.2.206","b4:60:ed:29:7a:a6","","小米电暖器","192.168.2.1","",""
56,"yes","lan1","192.168.2.207","ec:4d:3e:5d:d9:29","","小米踢脚线电暖器","192.168.2.1","",""
57,"yes","lan1","192.168.2.54","d4:5e:ec:f6:c7:fa","","书房小米电视有线","192.168.2.1","",""
58,"yes","lan1","192.168.2.224","20:7b:d2:73:19:7f","","便携千兆USB网卡2","192.168.2.1","",""
59,"yes","lan1","192.168.2.208","04:10:6b:d0:41:50","","MI-Pad","192.168.2.1","",""
60,"yes","lan1","192.168.2.209","28:02:2e:ef:47:db","","iPhone14","192.168.2.1","",""
61,"yes","lan1","192.168.2.226","d0:62:2c:42:92:9a","","Xiaomi%20Watch%20S1%20Pro","192.168.2.1","",""
62,"yes","lan1","192.168.2.149","34:29:ef:f7:3d:14","","海尔净水机","192.168.2.1","",""
64,"yes","lan1","192.168.2.148","cc:2d:83:4e:3c:ed","","Oppo手机","192.168.2.1","",""
65,"yes","lan1","192.168.2.40","94:f8:27:d7:81:ce","","小米中枢网关","192.168.2.1","",""
66,"yes","lan1","192.168.2.11","02:11:32:23:2c:fa","DESKTOP-Poppy","Win10%20ProxyServer","192.168.2.1","",""
67,"yes","lan1","192.168.2.4","00:1f:d0:98:5a:c6","","Window%20Server%202008%20R2%20千兆","192.168.2.1","",""
68,"yes","lan1","192.168.2.3","e0:e1:a9:99:6d:a9","","Window%20Server%202008%20R2%202.5G","192.168.2.1","",""
69,"yes","lan1","192.168.2.30","00:e0:4c:68:00:92","","2.5G%20USB%20Lan","192.168.2.1","",""
70,"yes","lan1","192.168.2.242","88:c9:b3:bf:c9:17","DESKTOP-Poppy","Poppy-PC%202.5G%20PCIE%20Lan","192.168.2.1","",""
71,"yes","lan1","192.168.2.243","00:0e:c6:73:22:0b","MITV","千兆USB","192.168.2.1","",""
72,"yes","lan1","192.168.2.5","00:15:5d:02:03:01","","iStoreOS","192.168.2.1","",""
73,"yes","lan1","192.168.2.200","08:9b:4b:45:5d:84","","主卧AP","192.168.2.1","",""
74,"yes","lan1","192.168.2.201","08:9b:4b:43:6a:98","","次卧AP","192.168.2.1","",""
76,"yes","lan1","192.168.2.202","08:9b:4b:4e:9e:99","","客厅AP","192.168.2.1","",""
77,"yes","lan1","192.168.2.214","04:95:e6:cb:97:7c","--","厨房无线增强-电力猫","192.168.2.1","",""
78,"yes","lan1","192.168.2.205","54:36:9b:06:81:e3","YOUKU-L1","YOUKU-L1","192.168.2.1","",""
79,"yes","lan1","192.168.2.203","08:9b:4b:46:e0:7b","","书房AP","192.168.2.1","",""
80,"yes","lan1","192.168.2.227","7c:c2:94:65:9b:f7","","米家电扇","192.168.2.1","",""
81,"yes","lan1","192.168.2.228","08:3a:8d:ee:d7:b9","--","桌面天气屏","192.168.2.1","",""
82,"yes","lan1","192.168.2.251","dc:ed:83:cd:ed:72","","次卧空调开关","192.168.2.1","",""
83,"yes","lan1","192.168.2.252","64:9e:31:01:f9:12","","主卧空调开关","192.168.2.1","",""
84,"yes","lan1","192.168.2.55","3c:fa:06:86:8a:4a","","XBOX-有线","192.168.2.1","",""
85,"yes","lan1","192.168.2.43","7c:01:91:49:bf:cf","PoppyiPne6sPlus","iPhone6sPlus","192.168.2.1","",""
87,"yes","lan1","192.168.2.231","10:48:b1:c4:b0:7c","","书房小米迷你盒子","192.168.2.1","",""
88,"yes","lan1","192.168.2.229","b0:a7:32:36:48:48","","电子墨水天气屏","192.168.2.1","",""
89,"yes","lan1","192.168.2.225","7c:c2:94:35:22:dc","","次卧智能插座网关","192.168.2.1","",""
90,"yes","lan1","192.168.2.244","2c:c3:e6:46:8a:12","","Anbernic%20开源掌机","192.168.2.1","",""
91,"yes","lan1","192.168.2.245","2e:c3:e6:46:8a:12","","Anbernic%20开源掌机","192.168.2.1","",""
92,"yes","lan1","192.168.2.216","b8:50:d8:4d:17:24","","书房AP电源控制","192.168.2.1","",""
93,"yes","lan1","192.168.2.215","b8:50:d8:47:1e:b0","","POE交换机及电信路由供电","192.168.2.1","",""
95,"yes","lan1","192.168.2.39","bc:03:58:79:59:c3","","Zero%20SER7%20Wifi","192.168.2.1","",""
96,"yes","lan1","192.168.2.32","70:70:fc:03:07:e1","","零刻GTR7%20LAN1","192.168.2.1","",""
97,"yes","lan1","192.168.2.33","70:70:fc:03:07:e2","","零刻GTR7%20LAN2","192.168.2.1","",""
98,"yes","lan1","192.168.2.34","f4:6d:3f:a8:07:19","","零刻GTR7%20Wifi","192.168.2.1","",""
